date,vs5y Production,vs5y Power Burn,vs5y Net Burn,vs5y Net Import,vs5y Storage Level,Production S1,Production S2,Net Import,Power Burn, Net Burn,Adjusted Balance
2015/2/27,9.5,-0.1,0.7,-0.6,-143.2,-0.2,-0.4,0.4,0.2,-0.7,8.1
2015/2/28,9.4,-1.0,0.0,-0.8,-166.5,-0.3,-0.4,0.0,-0.8,-0.7,8.1
2015/3/1,9.7,-1.4,-1.6,-1.7,-186.5,0.8,0.2,-1.0,-0.8,-1.9,8.1
2015/3/2,10.0,1.7,1.9,-1.9,-195.6,0.4,0.4,-1.0,2.5,2.2,8.1
2015/3/3,10.4,3.3,4.3,-2.3,-200.5,0.5,0.4,-1.3,3.5,4.1,8.1
2015/3/4,9.6,6.6,7.8,-2.4,-198.1,0.1,-0.4,-0.9,6.1,6.7,8.1
2015/3/5,8.4,6.1,6.2,-1.0,-202.9,0.0,-1.1,0.5,4.6,4.0,8.1
2015/3/6,9.3,0.6,0.9,-0.9,-227.9,0.5,0.1,0.2,-1.6,-1.8,6.3
2015/3/7,9.3,1.1,1.7,-1.7,-242.6,0.5,0.2,-0.8,-1.2,-1.0,6.3
2015/3/8,9.5,2.2,2.5,-1.9,-242.1,0.6,0.3,-0.7,-0.4,-0.5,6.3
2015/3/9,9.3,2.9,2.4,-1.9,-240.3,0.6,0.2,-0.4,-0.2,-1.2,6.3
2015/3/10,9.1,3.8,2.8,-2.0,-240.2,0.4,-0.1,-0.4,0.5,-0.9,6.3
2015/3/11,9.0,5.0,4.8,-2.1,-238.1,0.3,0.0,-0.5,1.7,1.3,6.3
2015/3/12,9.5,6.4,6.8,-1.6,-233.6,0.1,0.5,-0.1,3.3,3.7,6.3
2015/3/13,9.5,6.2,5.7,-1.7,-223.9,0.3,0.2,-0.1,3.1,2.6,4.2
2015/3/14,9.5,5.7,5.5,-1.5,-216.3,0.3,0.1,0.1,1.8,1.7,4.2
2015/3/15,9.4,4.6,4.3,-1.4,-207.4,0.2,0.1,0.2,0.0,0.0,4.2
2015/3/16,9.2,5.9,6.7,-1.5,-201.4,0.2,0.0,0.2,0.9,2.1,4.2
2015/3/17,9.6,5.8,7.2,-1.2,-193.9,-0.2,0.2,0.4,0.5,1.9,4.2
2015/3/18,10.1,4.0,3.8,-0.5,-192.5,0.4,0.6,1.0,-1.7,-2.0,4.2
2015/3/19,10.4,5.5,5.9,-0.5,-197.3,0.6,1.0,0.5,0.0,0.2,4.2
2015/3/20,9.9,5.4,5.7,-1.0,-196.1,0.5,0.5,-0.2,0.0,0.1,3.4
2015/3/21,9.4,4.1,4.9,-1.1,-197.3,0.1,0.0,-0.2,-1.2,-0.7,3.4
2015/3/22,10.2,3.0,3.8,-1.1,-194.3,0.6,0.7,-0.1,-2.1,-1.7,3.4
2015/3/23,10.1,3.1,4.6,-1.3,-194.6,0.5,0.5,-0.2,-1.7,-0.8,3.4
2015/3/24,9.6,4.5,6.1,-1.8,-198.7,0.0,-0.1,-0.6,0.1,0.9,3.4
2015/3/25,9.3,4.8,6.2,-2.2,-201.4,0.0,-0.4,-0.9,0.6,1.2,3.4
2015/3/26,9.6,6.2,7.1,-1.7,-195.5,0.0,0.0,-0.3,1.8,1.8,3.4
2015/3/27,10.1,4.9,5.8,-1.5,-183.8,0.3,0.4,-0.2,0.5,0.4,3.0
2015/3/28,10.1,2.5,4.6,-1.4,-185.2,0.3,0.4,-0.1,-1.8,-0.9,3.0
2015/3/29,10.0,1.7,4.1,-1.6,-189.5,0.1,0.3,-0.1,-2.4,-1.4,3.0
2015/3/30,9.8,3.2,4.4,-1.7,-192.3,0.3,0.2,-0.1,-0.7,-1.1,3.0
2015/3/31,9.8,3.6,5.4,-2.4,-192.0,0.1,0.1,-0.1,-0.4,-0.1,3.0
2015/4/1,9.8,2.7,5.3,-1.5,-191.7,-0.7,0.1,0.7,-1.2,-0.1,3.0
2015/4/2,9.7,4.7,6.7,-2.0,-186.2,-0.6,-0.1,0.2,1.1,1.4,3.0
2015/4/3,10.4,3.8,5.2,-2.2,-175.2,-0.2,0.2,-0.2,0.5,0.0,3.9
2015/4/4,10.3,3.7,4.6,-1.5,-167.9,-0.1,0.3,0.1,0.6,-0.5,3.9
2015/4/5,10.4,1.4,3.1,-1.6,-163.1,0.0,0.3,0.1,-2.0,-2.0,3.9
2015/4/6,10.3,2.0,4.0,-1.5,-156.0,-0.1,0.2,0.2,-1.3,-1.0,3.9
2015/4/7,10.3,2.5,3.8,-1.9,-149.2,-0.2,0.1,-0.1,-0.6,-1.1,3.9
2015/4/8,10.1,2.8,4.4,-1.4,-146.1,0.0,-0.2,0.4,-0.2,-0.3,3.9
2015/4/9,10.3,2.7,4.2,-1.1,-145.9,0.1,-0.1,0.6,-0.3,-0.3,3.9
2015/4/10,10.2,4.6,5.5,-1.6,-144.9,-0.1,-0.1,0.0,1.8,1.3,4.2
2015/4/11,10.1,3.1,3.9,-1.4,-141.9,0.0,-0.2,0.0,0.2,-0.3,4.2
2015/4/12,10.1,2.1,3.1,-1.3,-136.9,0.2,-0.1,0.0,-0.6,-1.1,4.2
2015/4/13,10.2,2.7,3.6,-1.7,-128.2,0.4,0.1,-0.1,-0.2,-0.5,4.2
2015/4/14,9.9,3.7,4.2,-2.1,-118.9,-0.6,-0.4,-0.3,0.8,0.1,4.2
2015/4/15,9.8,4.9,5.0,-1.9,-114.4,-0.7,-0.6,-0.2,1.8,0.9,4.2
2015/4/16,10.1,5.7,5.6,-2.3,-109.3,-0.4,-0.1,-0.4,2.3,1.4,4.2
2015/4/17,10.5,7.2,6.8,-2.2,-102.1,0.6,0.6,-0.4,3.3,2.3,3.6
2015/4/18,10.1,4.5,4.1,-1.9,-95.2,0.4,0.3,0.0,0.3,-0.5,3.6
2015/4/19,10.4,2.3,3.1,-1.8,-86.0,0.5,0.6,0.1,-2.1,-1.5,3.6
2015/4/20,10.3,3.4,4.2,-1.9,-79.0,0.5,0.5,0.2,-1.0,-0.5,3.6
2015/4/21,10.0,3.6,4.4,-2.1,-75.4,-0.4,-0.1,-0.1,-1.0,-0.3,3.6
2015/4/22,9.6,3.7,4.3,-1.4,-72.8,-0.6,-0.5,0.5,-0.8,-0.4,3.6
2015/4/23,10.5,3.4,3.2,-1.5,-73.5,0.1,0.5,0.3,-0.9,-1.4,3.6
2015/4/24,10.4,3.6,4.0,-1.5,-76.2,0.3,0.3,-0.1,-0.4,-0.3,2.3
2015/4/25,10.7,2.8,2.7,-1.6,-76.4,0.9,0.7,-0.1,-0.7,-1.2,2.3
2015/4/26,10.6,2.3,1.7,-1.9,-74.7,0.7,0.5,-0.4,-1.0,-2.0,2.3
2015/4/27,10.5,4.6,4.2,-2.0,-74.2,0.6,0.5,-0.3,1.4,0.7,2.3
2015/4/28,10.8,5.4,4.6,-2.7,-73.8,0.1,0.3,-0.5,2.0,1.1,2.3
2015/4/29,10.5,6.0,4.6,-2.1,-72.6,-0.4,-0.1,-0.1,2.3,1.0,2.3
2015/4/30,11.0,5.5,4.2,-2.2,-70.7,-0.8,0.2,-0.3,1.5,0.7,2.3
2015/5/1,9.9,5.8,5.0,-1.9,-66.5,-0.7,-0.9,0.0,1.5,1.3,1.5
2015/5/2,9.7,5.1,5.2,-2.5,-65.5,-0.9,-0.8,-0.6,0.5,1.3,1.5
2015/5/3,9.4,4.4,5.0,-2.5,-60.5,-0.9,-0.9,-0.5,-0.5,0.7,1.5
2015/5/4,9.5,3.6,4.5,-2.4,-53.3,-0.6,-0.5,-0.3,-1.6,-0.1,1.5
2015/5/5,9.4,1.7,2.5,-2.1,-48.7,-0.9,-0.5,0.2,-3.4,-2.2,1.5
2015/5/6,9.8,2.9,3.7,-2.1,-43.8,0.0,-0.1,0.2,-1.7,-0.7,1.5
2015/5/7,9.8,4.5,4.9,-2.4,-40.1,-0.1,0.0,-0.1,0.3,0.6,1.5
2015/5/8,9.9,5.7,4.9,-1.9,-38.9,0.1,0.4,0.2,1.7,0.5,1.9
2015/5/9,9.8,4.4,4.0,-1.3,-38.3,0.4,0.4,0.7,0.4,-0.4,1.9
2015/5/10,9.8,2.3,1.6,-1.5,-35.3,0.3,0.3,0.5,-1.6,-2.6,1.9
2015/5/11,9.9,3.7,3.7,-1.3,-33.0,0.4,0.4,0.7,0.1,0.0,1.9
2015/5/12,9.7,3.4,3.0,-1.4,-33.3,-0.4,-0.1,0.3,-0.3,-0.6,1.9
2015/5/13,9.9,4.6,4.8,-1.8,-32.9,0.0,-0.1,-0.2,0.7,1.1,1.9
2015/5/14,9.7,3.8,3.6,-1.9,-33.3,0.0,-0.2,-0.2,-0.3,-0.2,1.9
2015/5/15,9.9,4.6,4.6,-1.6,-33.5,0.3,0.1,-0.2,0.6,0.9,2.6
2015/5/16,9.9,2.9,3.5,-1.9,-29.8,0.2,0.0,-0.3,-0.9,-0.1,2.6
2015/5/17,9.8,0.9,0.7,-1.7,-24.7,0.2,0.1,-0.1,-2.7,-2.9,2.6
2015/5/18,9.9,3.0,3.5,-1.3,-19.3,0.2,0.2,0.6,-0.4,0.1,2.6
2015/5/19,9.5,3.1,3.5,-1.1,-18.4,-0.8,-0.7,0.7,-0.2,0.2,2.6
2015/5/20,9.2,4.0,3.8,-1.3,-18.4,-0.8,-0.7,0.7,0.7,0.4,2.6
2015/5/21,9.0,4.8,4.4,-1.1,-20.3,-0.6,-0.6,0.8,1.6,1.1,2.6
2015/5/22,9.4,4.5,4.1,-1.6,-17.3,0.0,0.0,-0.1,1.2,0.7,2.5
2015/5/23,9.5,3.6,4.3,-1.5,-13.1,0.3,0.2,-0.5,0.3,0.9,2.5
2015/5/24,9.3,2.8,2.7,-1.5,-5.6,0.2,0.1,-0.5,-0.6,-0.7,2.5
2015/5/25,9.0,0.6,1.1,-1.3,2.6,0.2,-0.1,0.0,-3.1,-2.6,2.5
2015/5/26,8.8,0.5,0.8,-1.6,9.3,0.1,-0.2,0.2,-2.9,-2.6,2.5
2015/5/27,8.0,1.3,1.7,-1.4,14.1,-0.4,-0.9,0.3,-1.7,-1.3,2.5
2015/5/28,7.9,2.4,3.2,-1.5,17.4,-0.7,-0.8,0.2,-0.2,0.4,2.5
2015/5/29,8.4,4.1,3.9,-1.4,19.8,0.0,-0.3,0.1,1.9,1.4,1.8
2015/5/30,8.3,2.4,2.3,-1.2,22.6,-0.1,-0.2,0.3,0.2,-0.2,1.8
2015/5/31,8.1,2.2,1.6,-1.5,26.8,-0.1,0.0,-0.1,0.1,-0.6,1.8
2015/6/1,8.2,4.5,4.9,-1.8,31.7,0.6,0.2,-0.3,2.6,2.8,1.8
2015/6/2,7.9,3.9,4.8,-2.2,33.5,0.7,0.0,-0.5,1.4,2.1,1.8
2015/6/3,8.4,5.2,6.0,-2.4,36.1,0.4,0.1,-1.0,2.2,2.8,1.8
2015/6/4,8.6,4.1,3.9,-1.7,38.3,0.8,0.4,-0.3,0.6,0.1,1.8
2015/6/5,8.8,4.2,3.5,-1.6,44.5,0.5,0.3,-0.3,0.4,-0.4,0.2
2015/6/6,9.0,4.8,4.0,-1.4,47.8,0.8,0.4,0.0,1.1,0.1,0.2
2015/6/7,9.1,4.0,3.4,-1.4,52.7,0.6,0.4,0.1,-0.1,-0.7,0.2
2015/6/8,9.0,4.6,3.3,-1.2,56.6,0.4,0.3,0.5,0.2,-1.0,0.2
2015/6/9,8.4,5.2,3.3,-1.4,55.9,-1.0,-0.6,0.5,0.8,-0.8,0.2
2015/6/10,8.7,6.0,5.4,-1.2,53.0,-0.9,-0.7,0.7,1.5,1.5,0.2
2015/6/11,8.8,5.4,5.3,-1.7,50.1,-0.5,-0.4,-0.1,0.7,1.4,0.2
2015/6/12,8.8,4.2,3.8,-1.6,47.5,-0.2,-0.1,-0.4,-0.7,-0.3,0.0
2015/6/13,8.9,2.1,0.5,-1.7,46.1,0.2,0.1,-0.4,-2.8,-3.5,0.0
2015/6/14,8.9,1.6,0.0,-1.7,47.7,-0.1,0.1,-0.4,-2.9,-3.6,0.0
2015/6/15,8.8,3.7,1.8,-1.5,48.7,-0.3,0.1,0.1,-0.4,-1.3,0.0
2015/6/16,8.7,4.8,2.7,-1.9,45.2,-0.8,-0.2,0.0,0.8,-0.2,0.0
2015/6/17,8.4,6.2,3.8,-2.2,39.8,-0.8,-0.2,-0.3,2.2,1.0,0.0
2015/6/18,9.0,6.2,4.2,-2.1,36.1,-0.1,0.4,-0.5,2.2,1.6,0.0
2015/6/19,9.1,5.6,4.0,-1.9,32.7,0.3,0.5,-0.2,1.5,1.6,-0.3
2015/6/20,9.3,5.6,4.7,-1.4,32.2,0.7,0.9,0.6,1.3,2.3,-0.3
2015/6/21,9.1,3.3,2.0,-1.0,34.9,0.8,0.7,0.9,-1.5,-1.0,-0.3
2015/6/22,9.1,3.8,3.6,-1.2,37.4,0.7,0.6,1.0,-1.3,0.3,-0.3
2015/6/23,8.8,3.7,2.5,-1.7,37.3,0.4,-0.1,0.4,-1.4,-1.1,-0.3
2015/6/24,8.7,4.9,3.6,-1.9,34.3,0.2,-0.2,0.1,0.0,0.1,-0.3
2015/6/25,8.8,6.7,5.2,-2.3,32.3,0.3,0.1,-0.4,2.0,1.7,-0.3
2015/6/26,8.8,5.4,3.5,-1.7,30.6,0.1,0.0,-0.3,0.6,-0.1,-0.2
2015/6/27,8.7,4.9,2.7,-1.6,32.2,0.2,-0.3,-0.4,0.1,-0.9,-0.2
2015/6/28,8.9,5.5,3.6,-1.8,37.9,0.1,-0.4,-0.4,0.8,0.3,-0.2
2015/6/29,9.0,6.7,5.0,-1.8,42.7,0.1,-0.2,-0.1,1.8,1.5,-0.2
2015/6/30,8.9,7.9,6.3,-2.1,44.6,-0.2,-0.1,-0.2,2.5,2.6,-0.2
2015/7/1,9.6,7.8,6.7,-1.7,43.8,0.3,0.6,0.0,1.8,2.4,-0.2
2015/7/2,9.8,6.6,5.0,-1.9,44.2,0.7,0.5,-0.2,0.2,0.3,-0.2
2015/7/3,9.5,4.0,2.1,-1.9,44.8,0.4,0.2,0.0,-2.4,-2.6,0.0
2015/7/4,9.3,4.5,3.1,-1.8,49.2,0.2,0.1,0.0,-1.7,-1.4,0.0
2015/7/5,9.3,3.6,3.3,-1.9,53.2,0.2,0.3,0.1,-2.6,-1.3,0.0
2015/7/6,9.0,3.9,4.1,-1.9,57.9,0.1,0.0,0.3,-2.0,-0.4,0.0
2015/7/7,8.4,3.2,2.7,-2.0,60.4,-1.0,-0.7,0.3,-2.3,-1.6,0.0
2015/7/8,9.1,4.9,3.8,-2.3,63.0,-0.1,0.0,0.0,0.1,-0.1,0.0
2015/7/9,9.1,5.8,5.2,-2.5,67.0,-0.1,0.1,-0.2,1.4,1.7,0.0
2015/7/10,8.9,5.8,5.7,-2.2,70.2,0.0,-0.1,-0.4,1.5,2.2,0.8
2015/7/11,8.9,5.4,5.0,-1.7,72.3,0.0,-0.1,0.2,0.9,1.0,0.8
2015/7/12,8.8,3.3,2.7,-1.8,75.9,0.1,-0.1,0.2,-1.3,-1.5,0.8
2015/7/13,9.0,4.0,3.6,-2.3,79.0,0.1,0.1,0.0,-0.6,-0.6,0.8
2015/7/14,8.8,6.2,5.9,-2.6,77.9,-0.4,-0.3,0.0,1.5,1.8,0.8
2015/7/15,8.9,5.7,5.3,-2.5,75.1,-0.3,-0.1,-0.1,0.6,0.8,0.8
2015/7/16,8.9,5.0,4.9,-2.5,74.3,0.0,0.0,-0.2,-0.1,0.1,0.8
2015/7/17,8.3,5.9,6.0,-2.7,75.1,-0.2,-0.3,-0.2,0.9,1.3,0.5
2015/7/18,8.3,3.9,4.3,-2.4,74.6,0.1,-0.2,0.2,-1.2,-0.5,0.5
2015/7/19,8.3,1.0,0.5,-1.9,77.3,-0.1,-0.2,0.6,-3.9,-4.2,0.5
2015/7/20,8.1,3.6,3.1,-1.8,79.0,0.1,-0.2,0.7,-0.9,-1.3,0.5
2015/7/21,8.1,3.9,3.0,-3.0,76.8,-0.4,-0.5,-0.6,-0.6,-1.3,0.5
2015/7/22,8.2,3.6,2.8,-3.0,75.4,-0.6,-0.4,-0.7,-0.5,-1.1,0.5
2015/7/23,8.4,3.6,3.5,-3.4,77.8,-0.5,-0.3,-1.0,-0.3,0.0,0.5
2015/7/24,8.9,5.5,5.5,-2.9,76.3,0.1,0.1,-0.5,1.8,2.2,-0.3
2015/7/25,9.3,5.9,6.1,-2.4,77.7,0.5,0.5,0.2,2.4,2.9,-0.3
2015/7/26,9.1,4.4,4.2,-2.4,80.5,0.3,0.4,0.3,0.5,0.7,-0.3
2015/7/27,8.8,4.6,4.9,-1.9,81.4,0.4,0.4,0.9,0.3,0.9,-0.3
2015/7/28,8.8,3.4,3.5,-1.8,78.0,0.0,0.2,0.9,-1.1,-0.8,-0.3
2015/7/29,9.0,3.6,2.9,-1.3,72.3,-0.2,0.3,1.0,-0.8,-1.4,-0.3
2015/7/30,9.0,4.9,4.0,-1.2,66.4,0.0,0.3,1.0,0.5,-0.3,-0.3
2015/7/31,8.6,5.9,5.4,-1.4,61.5,-0.2,0.0,0.5,1.3,0.9,-0.7
2015/8/1,8.7,4.1,3.9,-1.9,60.4,0.5,0.2,-0.3,-0.6,-0.5,-0.7
2015/8/2,8.8,3.3,4.0,-1.7,64.6,0.5,0.2,-0.1,-1.1,-0.1,-0.7
2015/8/3,8.9,3.4,3.9,-1.5,69.4,0.5,0.3,0.1,-0.9,-0.2,-0.7
2015/8/4,8.5,3.0,3.2,-2.0,71.8,0.1,-0.2,-0.5,-1.1,-0.7,-0.7
2015/8/5,8.7,4.2,4.6,-2.4,74.0,0.5,0.1,-0.8,0.2,0.7,-0.7
2015/8/6,8.9,5.1,5.3,-2.3,75.4,0.2,0.1,-0.6,1.0,1.1,-0.7
2015/8/7,9.0,5.3,5.6,-2.9,77.7,0.1,0.2,-1.1,1.1,1.3,0.1
2015/8/8,8.8,4.6,5.3,-3.0,79.1,0.0,-0.1,-1.0,0.5,1.0,0.1
2015/8/9,8.9,2.8,2.8,-3.2,81.3,0.0,0.1,-1.0,-1.3,-1.8,0.1
2015/8/10,8.6,3.8,3.6,-3.1,83.1,0.0,-0.1,-0.6,-0.3,-0.8,0.1
2015/8/11,7.9,3.6,2.9,-2.7,82.7,-0.9,-0.8,-0.1,-0.5,-1.4,0.1
2015/8/12,8.5,4.1,3.6,-2.0,80.6,-0.7,-0.4,0.4,-0.1,-0.7,0.1
2015/8/13,8.6,4.8,4.9,-1.7,79.0,-0.3,-0.2,0.7,0.7,0.7,0.1
2015/8/14,8.8,6.4,7.0,-1.4,77.4,0.0,0.1,0.9,2.3,2.9,1.7
2015/8/15,9.0,3.7,4.2,-1.4,76.3,0.2,0.5,0.8,-0.5,-0.1,1.7
2015/8/16,9.1,2.8,3.3,-1.4,77.7,0.5,0.5,0.7,-1.4,-0.8,1.7
2015/8/17,9.1,3.5,4.0,-1.0,78.0,0.5,0.6,0.9,-0.7,-0.2,1.7
2015/8/18,9.4,1.2,2.3,-1.8,76.0,0.3,0.5,-0.1,-2.9,-2.0,1.7
2015/8/19,9.5,0.0,1.6,-1.9,74.9,0.3,0.4,-0.2,-3.8,-2.6,1.7
2015/8/20,9.2,2.0,3.0,-1.7,76.5,0.2,0.2,-0.1,-1.2,-0.9,1.7
2015/8/21,9.1,4.3,6.0,-2.2,80.5,0.1,0.3,-0.4,1.4,2.4,2.3
2015/8/22,9.3,4.5,6.1,-2.0,86.9,0.6,0.3,-0.5,1.9,2.6,2.3
2015/8/23,9.3,3.0,4.3,-2.1,94.4,0.6,0.3,-0.5,0.4,0.6,2.3
2015/8/24,9.3,2.2,2.8,-1.8,101.0,0.5,0.3,-0.1,-0.4,-1.1,2.3
2015/8/25,8.7,3.4,3.6,-1.0,103.9,-0.5,-0.2,0.8,0.9,-0.1,2.3
2015/8/26,8.8,4.4,4.5,-1.9,107.3,-0.5,-0.2,-0.1,1.6,0.6,2.3
2015/8/27,9.0,4.9,5.9,-1.9,110.8,-0.4,-0.2,-0.1,1.5,1.6,2.3
2015/8/28,8.6,5.6,6.5,-2.0,113.9,-0.2,-0.2,-0.4,1.8,1.7,2.2
2015/8/29,8.9,5.1,5.3,-1.8,116.3,0.2,0.0,0.0,1.1,0.5,2.2
2015/8/30,9.1,4.1,4.1,-1.5,121.4,0.2,0.1,0.4,0.0,-0.6,2.2
2015/8/31,9.7,4.6,5.8,-1.4,127.2,0.5,0.2,0.5,0.3,1.1,2.2
2015/9/1,10.3,5.5,6.5,-2.2,129.9,0.5,0.4,-0.3,0.9,1.4,2.2
2015/9/2,10.2,5.3,6.3,-1.6,129.7,0.4,0.4,0.3,0.4,0.8,2.2
2015/9/3,10.8,4.9,5.6,-2.6,128.3,0.3,0.6,-0.7,-0.1,-0.2,2.2
2015/9/4,10.7,6.8,7.8,-2.8,129.6,0.1,0.2,-1.0,1.8,2.1,2.7
2015/9/5,10.1,4.4,6.0,-2.6,129.0,-0.1,-0.3,-1.0,-0.8,0.1,2.7
2015/9/6,10.2,1.4,2.4,-2.3,131.6,-0.1,-0.2,-0.8,-3.7,-3.6,2.7
2015/9/7,10.1,-0.9,-1.1,-2.2,133.5,-0.1,-0.2,-0.4,-5.6,-6.9,2.7
2015/9/8,10.1,0.0,-0.2,-1.5,134.1,-0.1,0.0,0.4,-3.9,-4.9,2.7
2015/9/9,9.7,2.8,2.3,-1.5,131.0,-0.3,-0.3,0.7,-0.3,-1.5,2.7
2015/9/10,9.4,4.1,4.1,-2.5,127.6,-0.3,-0.4,0.1,1.3,0.9,2.7
2015/9/11,9.4,4.1,5.0,-2.7,127.5,-0.3,-0.2,-0.4,1.5,2.0,2.1
2015/9/12,9.3,3.0,3.8,-2.7,129.2,-0.2,0.0,-0.7,0.8,1.1,2.1
2015/9/13,9.3,2.4,5.0,-2.9,134.4,-0.4,-0.1,-0.7,0.4,2.6,2.1
2015/9/14,9.4,4.5,6.8,-3.0,138.8,0.0,0.2,-0.7,2.3,4.1,2.1
2015/9/15,9.0,4.4,6.3,-3.0,142.0,-0.4,-0.2,-0.4,1.4,2.5,2.1
2015/9/16,9.5,3.5,5.3,-2.8,145.0,0.0,0.2,-0.2,-0.1,0.5,2.1
2015/9/17,9.1,3.4,5.1,-2.3,147.6,0.0,-0.1,0.4,-0.3,-0.1,2.1
2015/9/18,9.6,4.1,5.1,-2.2,151.0,0.2,0.2,0.5,0.5,-0.2,1.8
2015/9/19,9.5,3.1,3.1,-2.5,150.0,0.3,0.3,0.1,-0.6,-2.2,1.8
2015/9/20,9.5,2.8,3.3,-2.7,152.7,0.2,0.3,-0.1,-0.8,-1.9,1.8
2015/9/21,9.3,3.6,3.9,-2.7,153.3,0.2,0.1,0.0,-0.1,-1.1,1.8
2015/9/22,9.2,3.7,4.2,-2.9,152.5,-0.1,-0.2,-0.2,0.1,-0.4,1.8
2015/9/23,9.1,4.1,4.4,-3.1,151.0,-0.6,-0.3,-0.3,0.6,0.1,1.8
2015/9/24,9.4,4.9,4.5,-2.9,150.2,0.1,-0.1,-0.2,1.4,0.3,1.8
2015/9/25,9.4,5.4,4.9,-2.8,152.5,0.3,0.2,-0.2,1.6,0.8,1.1
2015/9/26,9.3,3.8,3.7,-3.0,153.3,0.6,0.3,-0.3,-0.1,-0.4,1.1
2015/9/27,9.2,2.1,2.2,-3.0,156.7,0.3,0.2,-0.2,-1.9,-1.9,1.1
2015/9/28,9.3,2.3,2.2,-2.9,159.6,0.6,0.4,0.1,-1.7,-1.8,1.1
2015/9/29,9.3,2.7,2.5,-2.8,160.2,0.2,0.2,0.2,-1.1,-1.2,1.1
2015/9/30,9.6,2.7,2.2,-2.6,157.6,-0.2,0.1,0.1,-1.0,-1.3,1.1
2015/10/1,9.4,5.0,4.9,-2.5,154.6,-0.5,0.0,0.1,1.6,1.8,1.1
2015/10/2,9.4,5.1,5.9,-2.3,153.1,-0.4,-0.3,0.1,1.7,2.7,1.6
2015/10/3,9.2,4.2,5.0,-2.2,154.2,-0.8,-0.5,0.2,0.8,1.6,1.6
2015/10/4,9.1,4.6,4.0,-2.4,157.1,-0.8,-0.6,0.2,1.1,0.4,1.6
2015/10/5,9.3,4.7,3.3,-2.0,161.0,-0.4,-0.4,0.5,0.9,-0.5,1.6
2015/10/6,8.9,4.8,3.2,-2.0,163.0,-0.7,-0.8,0.3,0.6,-0.8,1.6
2015/10/7,8.8,5.4,4.5,-2.1,164.2,-0.8,-0.6,0.2,1.0,0.4,1.6
2015/10/8,8.3,5.1,3.7,-1.7,165.2,-0.7,-0.7,0.6,0.3,-0.7,1.6
2015/10/9,8.7,5.6,4.3,-1.9,165.5,-0.2,-0.1,0.4,0.8,0.1,1.5
2015/10/10,8.5,4.9,4.6,-2.2,165.1,0.0,0.0,0.0,0.0,0.6,1.5
2015/10/11,8.5,4.1,5.4,-2.3,164.9,0.1,0.1,-0.1,-0.9,1.5,1.5
2015/10/12,8.2,3.5,4.8,-2.3,166.8,0.0,-0.1,0.0,-1.4,0.6,1.5
2015/10/13,8.6,2.7,2.5,-2.1,167.6,0.1,0.2,0.2,-2.1,-1.8,1.5
2015/10/14,9.1,4.1,4.4,-2.2,167.6,0.2,0.7,0.2,-0.4,0.1,1.5
2015/10/15,8.9,5.0,6.2,-1.9,166.3,-0.1,0.2,0.2,0.7,2.0,1.5
2015/10/16,8.8,5.0,5.3,-2.1,162.7,0.0,0.3,-0.1,0.8,0.7,0.5
2015/10/17,8.6,4.6,4.9,-2.0,159.2,0.1,0.2,-0.1,0.4,0.2,0.5
2015/10/18,8.5,4.4,5.5,-1.8,152.8,0.0,0.1,0.3,0.2,0.7,0.5
2015/10/19,8.3,4.5,6.3,-1.7,148.2,0.0,0.0,0.4,0.3,1.5,0.5
2015/10/20,7.8,4.8,5.9,-2.1,145.4,-1.2,-1.0,0.2,0.4,0.9,0.5
2015/10/21,8.3,4.9,5.2,-2.3,145.9,-0.5,-0.3,-0.1,0.3,-0.3,0.5
2015/10/22,8.3,5.6,5.6,-2.3,148.8,0.0,0.1,-0.1,0.9,0.0,0.5
2015/10/23,8.0,6.5,6.3,-2.1,151.8,0.1,0.0,-0.1,1.6,0.8,-0.9
2015/10/24,8.3,5.3,6.3,-1.8,152.4,0.4,0.2,-0.1,0.3,0.6,-0.9
2015/10/25,8.3,5.9,5.5,-1.7,153.9,0.5,0.2,-0.1,0.8,-0.4,-0.9
2015/10/26,8.1,5.2,4.3,-1.7,154.4,0.3,0.1,0.0,-0.2,-1.5,-0.9
2015/10/27,8.2,5.3,4.6,-1.7,151.4,-0.2,-0.1,0.1,-0.2,-1.0,-0.9
2015/10/28,7.8,6.1,6.8,-2.2,150.3,-0.6,-0.3,-0.1,0.6,1.4,-0.9
2015/10/29,8.0,7.0,7.9,-2.0,151.3,-0.7,-0.1,0.1,1.3,2.2,-0.9
2015/10/30,8.2,6.4,6.3,-1.9,149.0,0.0,0.2,0.1,0.5,0.4,-2.6
2015/10/31,8.0,5.9,5.9,-1.7,149.3,0.0,0.2,0.1,0.0,-0.1,-2.6
2015/11/1,6.5,6.0,5.4,-2.2,151.2,0.0,-1.3,-0.2,0.1,-0.5,-2.6
2015/11/2,6.3,7.0,6.8,-2.2,157.8,0.1,-1.1,-0.2,1.0,0.9,-2.6
2015/11/3,7.2,7.2,7.9,-2.7,163.2,-0.1,-0.4,-0.6,0.9,1.7,-2.6
2015/11/4,6.8,6.8,8.2,-2.3,168.0,-0.1,-0.5,-0.3,0.3,1.4,-2.6
2015/11/5,6.9,6.6,7.2,-2.0,173.9,0.2,-0.5,-0.2,0.0,0.3,-2.6
2015/11/6,6.8,8.3,7.3,-1.8,180.1,-0.3,-0.3,0.1,1.7,0.5,-3.6
2015/11/7,6.7,7.5,6.6,-0.9,185.1,-0.1,-0.1,1.0,0.7,-0.4,-3.6
